dataset,method,fidelity,fidelity_std,stability,stability_std
heart,SHAP,0.7423525347020489,0.08530456397251103,0.9229333551621984,0.028315075186639397
heart,LIME,-0.45392353107627426,0.26487823236688895,0.1564795721223151,0.08688818904175981
diabetes,SHAP,0.8392642656517225,0.0741329882720658,0.9807982938898064,0.03156764596282126
diabetes,LIME,0.5722759570777808,0.22459054480968585,0.9439078140632671,0.017065790902026985
kidney,SHAP,0.6678375371390785,0.19349211982623785,0.8859834288000332,0.0610755855773691
kidney,LIME,-0.9626905370504005,1.148311179003159,0.01582552937745453,0.02414996014519609
